,type,dataset,country,id
2409,political_organization,MC1,,82517
292,,MC1,,189
1496,organization,MC1,,47698
1748,organization,MC1,,95743666
2194,person,MC1,Oceanus,Sean Wilson
773,location,MC1,,23550059-88d4-4a69-b74e-3c7de8bf56de
2659,organization,MC1,,51470600
480,organization,MC1,,2056
2186,,MC1,,Attorneysâ
2758,person,MC1,Country_271835,Robert Chang
2112,organization,MC1,,2362
2187,organization,MC1,,4332001
1729,person,MC1,Country_271835,Robert Goodman
2514,person,MC1,Country_746165,Timothy Hampton
3001,organization,MC1,,5334
2420,political_organization,MC1,,6352
1617,organization,MC1,,41713
16,organization,MC1,,853949688
1582,organization,MC1,,428
2201,company,MC1,Polarisdom,Estrella del Mar Inc Merchants
1106,organization,MC1,,6274
2313,person,MC1,Country_753331,Cody Baird
1136,location,MC1,,1f899410-3447-48e7-bcb3-cbff10619e86
3406,,MC1,,IndÃºstria Madeireira Uliana
2232,political_organization,MC1,,71084
2408,,MC1,,siladityaray
3255,,MC1,,Four
2790,person,MC1,Marebak,Maria Jackson
1077,organization,MC1,,70347729
2600,company,MC1,Country_246944,Pregolya Delivery Cruise ship
2683,person,MC1,Country_271835,Marvin Evans
33,person,MC1,Country_271835,Lisa Clay
2573,organization,MC1,,92533
1578,organization,MC1,,779
3407,,MC1,,Sms
296,organization,MC1,,5705060
1517,event,MC1,,âcatch
1804,person,MC1,Country_712875,Wendy Miller
544,person,MC1,Quandoria,Miss Jessica Baker DVM
2682,person,MC1,Country_271835,Dale Chandler
2715,location,MC1,,b400d237-4d56-4de8-917a-8e7654ccf315
29,,MC1,,âregularâ
2418,organization,MC1,,45620
3021,organization,MC1,,36868
2607,person,MC1,Country_271835,Donald Thomas
546,location,MC1,,4b6a1701-93c3-403c-bd2f-9684106e8bba
3385,,MC1,,Logistics
1476,person,MC1,Mawazam,Rhonda Sullivan
905,person,MC1,Country_204272,David Larsen
3399,,MC1,,Ronald
