,type,dataset,country,id
1844,organization,MC1,,2278
132,organization,MC1,,8698
2444,,MC1,,Ð°Ñ
2445,,MC1,,ÐœÐ° Ð±ÐŸÑÑ
853,person,MC1,Country_271835,Christine Jones
150,organization,MC1,,71835024
929,,MC1,,GalÃ
2497,location,MC1,,f383ad5f-7949-495e-8427-556b64decaca
694,organization,MC1,,662118
2791,person,MC1,Country_271835,Deborah Carson
1483,,MC1,,th
1752,company,MC1,Country_322527,Diao yu bi sai Tidal BV Export
759,organization,MC1,,7529
588,organization,MC1,,522017227
1407,organization,MC1,,900
1090,person,MC1,Country_271835,Jenna Barton
2865,person,MC1,Country_271835,Colin Hunter
347,location,MC1,,8153f5cb-e1f7-49bb-91bb-24b3a296a40a
2709,political_organization,MC1,,54056
1737,movement,MC1,,Greenwich
2451,political_organization,MC1,,413760
3285,,MC1,,Costa del Mar S.p.A.
916,vessel,MC1,,cutter James
906,political_organization,MC1,,706129
1470,person,MC1,Country_271835,Paul Parker
2012,person,MC1,Country_271835,Michael Frederick
1916,organization,MC1,,40676
387,organization,MC1,,222848436
2875,person,MC1,Country_271835,Randall Martinez
1334,person,MC1,Country_271835,Scott Wallace
411,organization,MC1,,761
288,person,MC1,Country_271835,Ashley Wiggins
861,person,MC1,Country_271835,Robert Adams
2979,organization,MC1,,43797101
1595,,MC1,,âcardingâ
1850,,MC1,,MCDP
1482,organization,MC1,,683113035
1475,organization,MC1,,48115
3073,person,MC1,Country_271835,Alexis Smith
107,organization,MC1,,72
3267,,MC1,,Thomas Corp Cargo ship
2320,organization,MC1,,29167335
14,person,MC1,Country_271835,Joseph Griffin
2900,person,MC1,Country_271835,Brett Lee
3287,,MC1,,Mount Kenya Estuary Sp Holdings
866,organization,MC1,,7908385
2959,location,MC1,,90c3cb48-8060-4a55-804c-710044d19487
3367,,MC1,,Spanish Red Snapper GmbH Shipping
3192,,MC1,,Conduct Joint
1656,location,MC1,,950ce1a6-a178-4e3e-9316-91ab7ca88664
