,source,target,link_type,weight,source_type,dataset_x,source_country,target_type,target_country,count
0,12744,Spanish Shrimp  Carriers,ownership,0.900140,company,MC1,Nalakond,organization,,2
1,12744,Spanish Shrimp  Carriers,ownership,0.917011,organization,MC1,,company,Nalakond,2
2,3506021,Spanish Shrimp  Carriers,ownership,0.964213,company,MC1,Nalakond,organization,,2
3,3506021,Spanish Shrimp  Carriers,ownership,0.889810,organization,MC1,,company,Nalakond,2
4,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,membership,0.862103,company,MC1,Nalakond,company,Oceanus,2
5,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,membership,0.841152,company,MC1,Oceanus,company,Nalakond,2
10,185040354,3506021,ownership,0.841343,organization,MC1,,organization,,2
11,185040354,3506021,ownership,0.968845,organization,MC1,,organization,,2
12,185040354,505943,ownership,0.827212,organization,MC1,,organization,,2
13,185040354,505943,ownership,0.931467,organization,MC1,,organization,,2
26,Faroe Islands Shrimp Shark,png xi  Line,membership,0.841791,company,MC1,Rio Isla,company,Country_628643,2
27,Faroe Islands Shrimp Shark,png xi  Line,membership,2.464103,company,MC1,Country_628643,company,Rio Isla,2
28,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,1.764709,company,MC1,Rio Isla,,,2
29,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,0.837742,,MC1,,company,Rio Isla,2
32,903311212,Faroe Islands Shrimp Shark,membership,0.827556,company,MC1,Rio Isla,organization,,2
33,903311212,Faroe Islands Shrimp Shark,membership,3.308088,organization,MC1,,company,Rio Isla,2
44,341411,Christopher Cunningham,membership,0.869998,organization,MC1,,person,Oceanus,2
45,341411,Christopher Cunningham,membership,0.938505,person,MC1,Oceanus,organization,,2
46,341411,b8567859-bf54-49fd-8332-5775e19c65af,membership,0.950983,organization,MC1,,location,,2
47,341411,b8567859-bf54-49fd-8332-5775e19c65af,membership,0.833605,location,MC1,,organization,,2
54,341411,Jerry Welch,membership,0.820881,organization,MC1,,person,Country_271835,2
55,341411,Jerry Welch,membership,0.802631,person,MC1,Country_271835,organization,,2
56,341411,Playa del Cielo Kga,ownership,0.816223,organization,MC1,,company,Rio Isla,2
57,341411,Playa del Cielo Kga,ownership,0.818714,company,MC1,Rio Isla,organization,,2
58,341411,png xi  Line,membership,0.845169,organization,MC1,,company,Country_628643,2
59,341411,png xi  Line,membership,0.906580,company,MC1,Country_628643,organization,,2
62,341411,SeaSpray Wave SRL Solutions,membership,0.819132,organization,MC1,,,,2
63,341411,SeaSpray Wave SRL Solutions,membership,0.892872,,MC1,,organization,,2
64,341411,Ocean Fisheries Llc,membership,0.838622,organization,MC1,,,,2
65,341411,Ocean Fisheries Llc,membership,0.959886,,MC1,,organization,,2
66,128692,5441,ownership,0.888788,organization,MC1,,organization,,2
67,128692,5441,ownership,0.863453,organization,MC1,,organization,,2
