,source,target,link_type,weight,source_type,dataset_x,source_country,target_type,target_country,count
0,12744,Spanish Shrimp  Carriers,ownership,0.900140,company,MC1,Nalakond,organization,,2
1,12744,Spanish Shrimp  Carriers,ownership,0.917011,organization,MC1,,company,Nalakond,2
2,3506021,Spanish Shrimp  Carriers,ownership,0.964213,company,MC1,Nalakond,organization,,2
3,3506021,Spanish Shrimp  Carriers,ownership,0.889810,organization,MC1,,company,Nalakond,2
8,185040354,4,partnership,0.857406,organization,MC1,,organization,,2
9,185040354,4,partnership,0.876437,organization,MC1,,organization,,2
10,185040354,3506021,ownership,0.841343,organization,MC1,,organization,,2
11,185040354,3506021,ownership,0.968845,organization,MC1,,organization,,2
12,185040354,505943,ownership,0.827212,organization,MC1,,organization,,2
13,185040354,505943,ownership,0.931467,organization,MC1,,organization,,2
14,185040354,23774,partnership,0.850333,organization,MC1,,organization,,2
15,185040354,23774,partnership,0.866699,organization,MC1,,organization,,2
16,767,Faroe Islands Shrimp Shark,partnership,0.883147,company,MC1,Rio Isla,organization,,2
17,767,Faroe Islands Shrimp Shark,partnership,0.947659,organization,MC1,,company,Rio Isla,2
20,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,partnership,0.905016,company,MC1,Rio Isla,location,,2
21,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,partnership,0.967632,location,MC1,,company,Rio Isla,2
28,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,1.764709,company,MC1,Rio Isla,,,2
29,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,0.837742,,MC1,,company,Rio Isla,2
36,341411,3506021,partnership,0.823344,organization,MC1,,organization,,2
37,341411,3506021,partnership,0.803840,organization,MC1,,organization,,2
56,341411,Playa del Cielo Kga,ownership,0.816223,organization,MC1,,company,Rio Isla,2
57,341411,Playa del Cielo Kga,ownership,0.818714,company,MC1,Rio Isla,organization,,2
60,341411,png xi  Line,partnership,1.685952,organization,MC1,,company,Country_628643,2
61,341411,png xi  Line,partnership,1.784708,company,MC1,Country_628643,organization,,2
66,128692,5441,ownership,0.888788,organization,MC1,,organization,,2
67,128692,5441,ownership,0.863453,organization,MC1,,organization,,2
84,47679,829,ownership,0.870605,organization,MC1,,organization,,2
85,47679,829,ownership,0.828440,organization,MC1,,organization,,2
88,57,Derek Burke,partnership,0.956302,person,MC1,Nalakond,political_organization,,2
89,57,Derek Burke,partnership,0.875196,political_organization,MC1,,person,Nalakond,2
90,Derek Burke,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.905324,person,MC1,Nalakond,location,,2
91,Derek Burke,c01c6a10-60c9-4f11-9409-aa04c3963826,partnership,0.945534,location,MC1,,person,Nalakond,2
94,Amanda Mckenzie,Estrella de Coral Ltd. Corporation Logistics,partnership,0.800088,person,MC1,Oceanus,,,2
95,Amanda Mckenzie,Estrella de Coral Ltd. Corporation Logistics,partnership,0.979983,,MC1,,person,Oceanus,2
